student_no,province,age,gender,nationality,religion,f_Educ,father_occupation,m_Educ,mother_occupation,family_size,ordinal_position,family_monthlyIncome,no_members_income,tuition_support,school_expenses,shs_school_type,strand,grade12_cgpa,pr_verbal_language,pr_reading_compre,pr_english,pr_math,pr_non_verbal,pr_basic_cmp,pr_clerical,selected_college_score,course,total_units,institute,performance
20607805,Pampanga,19,F,Filipino,Roman Catholic,HS,"artistic, musical, writing",College Undergraduate/Vocational,mgmt. sales and entrepreneural occupations,4,Youngest,A,Max of 2,Parents,Parents,Private,ABM,92.5,37,52,53,23,91,53,69,49.7,Accountancy,26,SBA,high
20616120,Pampanga,18,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,Skilled and technical jobs,6,3rd,E,Max of 2,Scholarships and Grants,Parents,Private,GAS,96.5,37,88,78,50,62,83,6,58.55,BSAeronautical,25,SEA,medium
20573403,Pampanga,19,F,Filipino,Iglesia Ni Cristo,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,office and clerical jobs,6,Eldest,D,Max of 2,Parents,Parents,Private,ABM,93.03,91,84,78,75,86,92,79,82.75,Accountancy,26,SBA,high
20589480,Pampanga,18,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,6,3rd,D,Max of 2,Relatives,Parents,Private,TVL,84.68,24,88,2,31,72,61,23,42.25,BS EventMgmt,26,SHTM,high
20627662,Outside,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,College Undergraduate/Vocational,mgmt. sales and entrepreneural occupations,5,Eldest,A,Max of 2,Parents,Parents,Private,ABM,93.5,87,73,87,67,86,98,33,77.1,BusMgt,23,SBA,high
20615253,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,6,3rd,D,None,Relatives,Parents,Public,STEM,90.5,52,67,87,75,32,69,65,65.25,ELECENG,25,SEA,high
20612542,Pampanga,19,F,Filipino,Roman Catholic,Elementary,Skilled and technical jobs,College Undergraduate/Vocational,,4,Youngest,E,Max of 2,Parents,Parents,Private,STEM,87.5,37,73,40,58,32,77,8,50.35,BSITAreaWebDev,23,CICT,high
20615916,Pampanga,19,F,Filipino,Born Again Christian,HS,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,6,3rd,E,Max of 4,Relatives,Parents,Private,STEM,89.53,79,67,87,58,91,87,8,66.45,BSEMC-DA,23,CICT,high
20569623,Pampanga,18,F,Filipino,Roman Catholic,HS,Skilled and technical jobs,Elementary,,8,4th,F,None,Relatives,Parents,Public,STEM,89.0,79,79,17,50,91,87,45,64.2,BS MedTech,31,SNAMS,high
20617424,Pampanga,18,M,Filipino,Iglesia Ni Cristo,Post Graduate,,College Undergraduate/Vocational,office and clerical jobs,5,Middle,D,Max of 2,Relatives,Parents,Private,HUMSS,93.82,94,73,87,95,72,69,26,77.15,BSPsychology,23,SAS,high
20635738,Pampanga,18,F,Filipino,Roman Catholic,HS,scientific and allied medical positions,HS,scientific and allied medical positions,4,Eldest,F,None,Scholarships and Grants,Parents,Private,HUMSS,79.0,14,52,40,40,24,12,82,39.4,BPEd,26,SED,medium
20629394,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,7,Middle,D,Max of 4,Parents,Parents,Private,STEM,85.65,7,52,53,82,86,94,15,56.75,CE,25,SEA,medium
20618717,Pampanga,19,F,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,7,Youngest,F,None,Parents,Parents,Private,HUMSS,91.41,24,45,78,50,52,37,73,50.25,BSNEd,26,SED,high
20639114,Pampanga,19,F,Filipino,Roman Catholic,HS,,HS,,7,Youngest,F,Max of 2,Scholarships and Grants,Parents,Private,STEM,87.5,91,45,67,50,72,61,65,61.6,BS MedTech,31,SNAMS,medium
20616118,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,6,2nd,A,Max of 4,Parents,Parents,Private,ABM,90.0,52,96,27,97,32,83,57,71.8,BusMgt,23,SBA,high
20612643,Pampanga,19,F,Filipino,Roman Catholic,HS,"artistic, musical, writing",HS,,6,3rd,F,Max of 2,Parents,Parents,Public,TVL,89.5,24,79,27,58,80,12,49,53.4,Accountancy,26,SBA,high
20570951,Pampanga,18,M,Filipino,Born Again Christian,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,,5,Eldest,E,Max of 2,Parents,Parents,Private,ABM,94.19,94,79,40,82,42,87,12,69.0,Accountancy,26,SBA,high
